,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
0,1001,Agawam,MA,Springfield,Hampden,5851,223600.0,228356.78,0.02,233123.12,0.04,237863.17,0.06,242597.02,0.08,247329.4,0.11,252061.43,0.13,256793.37,0.15,261525.3,0.17,266257.22,0.19,270989.14,0.21
1,1002,Amherst,MA,Springfield,Hampshire,4200,353300.0,371074.72,0.05,381898.61,0.08,391086.22,0.11,399898.93,0.13,408625.73,0.16,417332.84,0.18,426035.45,0.21,434737.02,0.23,443438.36,0.26,452139.64,0.28
2,1005,Barre,MA,Worcester,Worcester,11214,220700.0,233112.3,0.06,240855.94,0.09,247203.09,0.12,253127.58,0.15,258924.17,0.17,264682.05,0.2,270428.22,0.23,276170.85,0.25,281912.4,0.28,287653.63,0.3
3,1007,Belchertown,MA,Springfield,Hampshire,6851,270600.0,274612.28,0.01,280123.93,0.04,285863.97,0.06,291648.78,0.08,297442.37,0.1,303237.67,0.12,309033.32,0.14,314829.03,0.16,320624.75,0.18,326420.47,0.21
4,1008,Blandford,MA,Springfield,Hampden,14548,214200.0,223570.8,0.04,228324.23,0.07,232887.99,0.09,237444.34,0.11,242000.42,0.13,246556.48,0.15,251112.54,0.17,255668.61,0.19,260224.67,0.21,264780.73,0.24
5,1010,Brimfield,MA,Springfield,Hampden,11703,250900.0,266526.16,0.06,273891.8,0.09,280446.13,0.12,286926.29,0.14,293399.67,0.17,299872.43,0.2,306345.14,0.22,312817.84,0.25,319290.53,0.27,325763.23,0.3
6,1011,Chester,MA,Springfield,Hampden,14476,149100.0,153059.99,0.03,155904.13,0.05,158726.72,0.06,161549.45,0.08,164372.18,0.1,167194.91,0.12,170017.64,0.14,172840.36,0.16,175663.09,0.18,178485.82,0.2
7,1013,Chicopee,MA,Springfield,Hampden,4569,177400.0,182548.61,0.03,186882.18,0.05,190971.29,0.08,194998.01,0.1,199008.79,0.12,203015.5,0.14,207021.18,0.17,211026.59,0.19,215031.93,0.21,219037.26,0.23
8,1020,Chicopee,MA,Springfield,Hampden,2695,189800.0,193451.24,0.02,197362.02,0.04,201336.22,0.06,205328.08,0.08,209324.91,0.1,213323.13,0.12,217321.75,0.15,221320.47,0.17,225319.23,0.19,229317.99,0.21
9,1026,Cummington,MA,Springfield,Hampshire,14595,220800.0,220465.95,-0.0,226054.51,0.02,231673.2,0.05,237291.08,0.07,242908.96,0.1,248526.84,0.13,254144.72,0.15,259762.59,0.18,265380.47,0.2,270998.35,0.23
10,1027,Easthampton,MA,Springfield,Hampshire,5268,254900.0,259480.8,0.02,265073.88,0.04,270867.39,0.06,276695.29,0.09,282529.1,0.11,288363.92,0.13,294198.92,0.15,300033.94,0.18,305868.97,0.2,311704.01,0.22
11,1028,East Longmeadow,MA,Springfield,Hampden,6542,252400.0,262213.52,0.04,269429.98,0.07,275531.5,0.09,281165.48,0.11,286603.81,0.14,291960.28,0.16,297282.49,0.18,302590.37,0.2,307892.24,0.22,313191.61,0.24
12,1030,Agawam,MA,Springfield,Hampden,7802,239300.0,246229.8,0.03,252013.81,0.05,257409.58,0.08,262694.36,0.1,267947.36,0.12,273191.27,0.14,278432.58,0.16,283673.14,0.19,288913.49,0.21,294153.78,0.23
13,1033,Granby,MA,Springfield,Hampshire,10028,247900.0,249971.48,0.01,254866.36,0.03,260220.98,0.05,265655.05,0.07,271102.86,0.09,276553.04,0.12,282003.63,0.14,287454.29,0.16,292904.97,0.18,298355.65,0.2
14,1034,Tolland,MA,Springfield,Hampden,13563,261700.0,270686.98,0.03,277840.16,0.06,284207.18,0.09,290336.6,0.11,296393.29,0.13,302427.71,0.16,308455.32,0.18,314480.83,0.2,320505.7,0.22,326530.38,0.25
15,1035,Hadley,MA,Springfield,Hampshire,10440,329200.0,338923.48,0.03,347148.45,0.05,355279.03,0.08,363402.83,0.1,371526.14,0.13,379649.42,0.15,387772.69,0.18,395895.97,0.2,404019.24,0.23,412142.52,0.25
16,1036,Hampden,MA,Springfield,Hampden,10956,263700.0,263651.28,-0.0,267395.48,0.01,272179.57,0.03,277245.8,0.05,282388.55,0.07,287552.06,0.09,292721.19,0.11,297891.85,0.13,303062.93,0.15,308234.12,0.17
17,1038,Hatfield,MA,Springfield,Hampshire,12854,308800.0,308564.66,-0.0,313151.76,0.01,319624.99,0.04,326791.8,0.06,334212.91,0.08,341727.32,0.11,349275.95,0.13,356837.13,0.16,364402.93,0.18,371970.41,0.2
18,1040,Holyoke,MA,Springfield,Hampden,1789,191400.0,195223.96,0.02,199059.49,0.04,202855.86,0.06,206634.37,0.08,210404.55,0.1,214170.85,0.12,217935.35,0.14,221698.99,0.16,225462.25,0.18,229225.32,0.2
19,1050,Huntington,MA,Springfield,Hampshire,12876,204100.0,210919.12,0.03,215333.64,0.06,219722.14,0.08,224110.32,0.1,228498.5,0.12,232886.68,0.14,237274.86,0.16,241663.04,0.18,246051.22,0.21,250439.4,0.23
20,1053,Northampton,MA,Springfield,Hampshire,13643,316100.0,334326.97,0.06,343855.03,0.09,352279.94,0.11,360568.4,0.14,368839.99,0.17,377109.49,0.19,385378.72,0.22,393647.93,0.25,401917.13,0.27,410186.34,0.3
