CountyName,10_Gain,Rank
Denver,0.5246153846153845,1
Pitkin,0.48,2
Park,0.45999999999999996,3
Adams,0.4426666666666667,4
Jefferson,0.44,5
Clear Creek,0.435,6
Arapahoe,0.38736842105263153,7
El Paso,0.37,8
Mesa,0.36888888888888893,9
Weld,0.36277777777777787,10
Teller,0.3625,11
Elbert,0.36,12
Larimer,0.354375,13
Montezuma,0.35000000000000003,14
Pueblo,0.34875,15
Chaffee,0.3466666666666667,16
Rio Grande,0.3433333333333333,17
Boulder,0.34142857142857147,18
Garfield,0.3266666666666667,19
La Plata,0.308,20
Grand,0.305,21
Gunnison,0.2866666666666667,22
Broomfield,0.265,23
Douglas,0.24615384615384617,24
Routt,0.2425,25
Alamosa,0.2,26
Logan,0.2,27
Otero,0.19666666666666668,28
Montrose,0.1366666666666667,29
